epochs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
acc,0.2772215269086358,0.3094493116395494,0.3188360450563204,0.3404255319148936,0.33448060075093866,0.31821026282853565,0.33635794743429287,0.3541927409261577,0.3376095118898623,0.34355444305381727,0.347622027534418,0.3526282853566959,0.3541927409261577,0.3494993742177722,0.34637046307884856,0.3454317897371715,0.3545056320400501,0.3469962453066333,0.35168961201501875,0.3369837296620776,0.3548185231539424,0.34824780976220276,0.34856070087609514,0.3526282853566959,0.35826032540675845,0.3397997496871089,0.3426157697121402,0.3545056320400501,0.3404255319148936,0.34011264080100123
0,0.4594594594594595,0.5135135135135135,0.4864864864864865,0.5675675675675675,0.4864864864864865,0.43243243243243246,0.3783783783783784,0.43243243243243246,0.5945945945945946,0.43243243243243246,0.5405405405405406,0.40540540540540543,0.4594594594594595,0.4864864864864865,0.5945945945945946,0.5135135135135135,0.5135135135135135,0.3783783783783784,0.4864864864864865,0.3783783783783784,0.4864864864864865,0.43243243243243246,0.5675675675675675,0.40540540540540543,0.4594594594594595,0.5135135135135135,0.43243243243243246,0.5135135135135135,0.43243243243243246,0.4864864864864865
1,0.0,0.3783783783783784,0.2702702702702703,0.24324324324324326,0.21621621621621623,0.2702702702702703,0.21621621621621623,0.32432432432432434,0.40540540540540543,0.24324324324324326,0.40540540540540543,0.1891891891891892,0.32432432432432434,0.35135135135135137,0.1891891891891892,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.2972972972972973,0.1891891891891892,0.2702702702702703,0.1891891891891892,0.24324324324324326,0.21621621621621623,0.1891891891891892,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.24324324324324326
2,0.5625,0.1875,0.34375,0.21875,0.4375,0.5,0.46875,0.3125,0.6875,0.28125,0.3125,0.375,0.5,0.4375,0.5625,0.5,0.5,0.5625,0.59375,0.5625,0.59375,0.40625,0.5625,0.59375,0.53125,0.25,0.59375,0.46875,0.53125,0.5
3,0.15384615384615385,0.48717948717948717,0.5384615384615384,0.46153846153846156,0.3333333333333333,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.358974358974359,0.41025641025641024,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.46153846153846156,0.358974358974359,0.48717948717948717,0.38461538461538464,0.5128205128205128,0.46153846153846156,0.5384615384615384,0.5128205128205128,0.5384615384615384,0.38461538461538464,0.5128205128205128,0.46153846153846156,0.4358974358974359,0.358974358974359,0.38461538461538464,0.41025641025641024,0.4358974358974359
4,0.21666666666666667,0.18333333333333332,0.25,0.3,0.2833333333333333,0.4,0.45,0.2833333333333333,0.4,0.36666666666666664,0.38333333333333336,0.45,0.3333333333333333,0.36666666666666664,0.4166666666666667,0.38333333333333336,0.4166666666666667,0.43333333333333335,0.25,0.45,0.38333333333333336,0.5,0.35,0.4666666666666667,0.45,0.4,0.4166666666666667,0.38333333333333336,0.43333333333333335,0.45
5,0.5238095238095238,0.4523809523809524,0.42857142857142855,0.2857142857142857,0.2619047619047619,0.42857142857142855,0.30952380952380953,0.40476190476190477,0.2619047619047619,0.35714285714285715,0.4523809523809524,0.23809523809523808,0.40476190476190477,0.4523809523809524,0.35714285714285715,0.3333333333333333,0.42857142857142855,0.2619047619047619,0.2857142857142857,0.23809523809523808,0.3333333333333333,0.4523809523809524,0.40476190476190477,0.2857142857142857,0.42857142857142855,0.40476190476190477,0.2619047619047619,0.40476190476190477,0.38095238095238093,0.23809523809523808
6,0.6842105263157895,0.7105263157894737,0.7105263157894737,0.6578947368421053,0.6842105263157895,0.7105263157894737,0.631578947368421,0.7105263157894737,0.6052631578947368,0.7105263157894737,0.5789473684210527,0.8157894736842105,0.6842105263157895,0.631578947368421,0.7105263157894737,0.6578947368421053,0.7105263157894737,0.6842105263157895,0.6842105263157895,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.7368421052631579,0.7368421052631579,0.6578947368421053,0.6052631578947368,0.6052631578947368,0.6842105263157895,0.6578947368421053,0.6052631578947368
7,0.49122807017543857,0.40350877192982454,0.3684210526315789,0.47368421052631576,0.5263157894736842,0.6140350877192983,0.49122807017543857,0.543859649122807,0.5087719298245614,0.49122807017543857,0.49122807017543857,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,0.49122807017543857,0.49122807017543857,0.543859649122807,0.543859649122807,0.543859649122807,0.5964912280701754,0.49122807017543857,0.42105263157894735,0.5789473684210527,0.45614035087719296,0.38596491228070173,0.49122807017543857,0.47368421052631576,0.49122807017543857,0.45614035087719296
8,0.30303030303030304,0.36363636363636365,0.45454545454545453,0.42424242424242425,0.48484848484848486,0.45454545454545453,0.48484848484848486,0.3939393939393939,0.48484848484848486,0.48484848484848486,0.5151515151515151,0.45454545454545453,0.42424242424242425,0.45454545454545453,0.48484848484848486,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.3939393939393939,0.48484848484848486,0.45454545454545453,0.3939393939393939,0.24242424242424243,0.45454545454545453,0.48484848484848486,0.42424242424242425,0.48484848484848486
