ride horse,31,0.343444007,0.4641462,0.408405472,0.350322613,0.391579573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartwheel,1,0.416923684,0.389458033,0.366770036,0.393079343,0.391557774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sit up,38,0.387843565,0.350430299,0.331792921,0.43338644,0.375863306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chew,3,0.33653787,0.358553679,0.366589288,0.35725177,0.354733152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stand,42,0.29133509,0.466766569,0.33827595,0.309653388,0.351507749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
somersault,41,0.361829604,0.314548242,0.345981978,0.371102649,0.348365618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,32,0.373237305,0.320388101,0.336202777,0.360166126,0.347498577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brush hair,0,0.282378251,0.355965667,0.318510467,0.35006506,0.326729861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turn,48,0.311777493,0.306025563,0.366102466,0.305120055,0.322256394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
talk,46,0.346097388,0.273967562,0.341204828,0.314310784,0.31889514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flic flac,14,0.348606541,0.285901912,0.30198425,0.306062197,0.310638725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,40,0.372945342,0.244133516,0.305566736,0.296431169,0.304769191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jump,19,0.281804825,0.251304833,0.305222026,0.281671644,0.280000832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smile,39,0.275969405,0.224982019,0.226117366,0.243986557,0.242763837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eat,11,0.211672885,0.222271999,0.178681725,0.232234284,0.211215223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drink,10,0.204707405,0.203199628,0.193147881,0.243487492,0.211135601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dive,7,0.205718736,0.198346291,0.23238367,0.166319897,0.200692149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall floor,12,0.179173967,0.191026718,0.166572405,0.226066811,0.190709975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiss,22,0.098844669,0.146290353,0.11071717,0.14155726,0.124352363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,test1,train1,train2,train3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
