diribble,9,0.816182631,0.797531384,0.800570335,0.794773385,0.802264434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574318428
golf,15,0.796605794,0.771151251,0.787605128,0.783266985,0.78465729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shake hands,33,0.766542981,0.800745118,0.77770363,0.785269354,0.782565271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
draw sword,8,0.746740347,0.718940846,0.719758535,0.754237124,0.734919213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swing baseball,43,0.666804509,0.71395275,0.745988574,0.728347611,0.713773361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fencing,13,0.720009613,0.690456258,0.739435638,0.660867365,0.702692218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch,2,0.659402172,0.753090849,0.673820945,0.722564768,0.702219684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sword,44,0.753283197,0.603974115,0.677134715,0.691371491,0.68144088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hug,18,0.628943877,0.707516078,0.627708541,0.723281798,0.671862574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot ball,34,0.651027209,0.603052894,0.616481789,0.653748029,0.63107748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour,25,0.669130803,0.590777619,0.64368574,0.587625865,0.622805007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sit,37,0.643767772,0.575668218,0.617686814,0.583061521,0.605046081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot bow,35,0.614204034,0.598800951,0.562489523,0.627992856,0.600871841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clap,4,0.571963791,0.614416054,0.541997053,0.613281915,0.585414703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pullup,26,0.570046135,0.5810171,0.577808031,0.583736741,0.578152002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ride bike,30,0.548337513,0.519268963,0.497783767,0.556708891,0.530524783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
throw,47,0.578819555,0.50861373,0.517146469,0.514983239,0.529890749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
