,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
0,0.41321673,0.543329329,0.522718172,0.394643892,0.319280937,0.528357939,0.405214416,0.321665887,0.362595171,0.141877915,0.068326886,0.366671262,0.14916528,0.059781665,0.35049716,0.372293498,0.27578081,0.354266845,0.330537989
1,0.351432479,0.56553959,0.417739013,0.355721863,0.296547973,0.42132601,0.364978684,0.305053868,0.559815841,0.534578354,0.50408781,0.558335985,0.535819879,0.511558674,0.193951549,0.179529204,0.268524742,0.259758075,0.399127755
2,0.630489466,0.911167019,0.768629232,0.733164272,0.618891869,0.80080374,0.767477494,0.639138228,0.907179701,0.877621253,0.774832277,0.906808878,0.873915597,0.786052777,0.368315625,0.392214303,0.597302758,0.652793916,0.722599911
3,0.77531102,0.68716353,0.65632655,0.188718067,0.070742524,0.657727137,0.166279316,0.099658484,0.078437588,0.039502301,0.017223065,0.070747255,0.035814264,0.017273009,0.7706468,0.759628216,0.616390766,0.588998755,0.34981048
4,0.850891305,0.882240236,0.852149888,0.669748313,0.571261769,0.876152226,0.69246873,0.565174936,0.488647244,0.192918354,0.112308054,0.505072643,0.211437058,0.101012273,0.797292026,0.826483147,0.709662602,0.781350693,0.59368175
5,0.190606894,0.581433197,0.502177439,0.460913209,0.385036419,0.509142838,0.456281218,0.368154986,0.570885025,0.526785955,0.479793174,0.568942506,0.526101456,0.481860082,0.13232406,0.138232558,0.395240182,0.39236225,0.42590408
6,0.191608618,0.618182201,0.514534311,0.423462974,0.316880076,0.515540033,0.409359479,0.287060847,0.607382622,0.554287171,0.504337004,0.605043486,0.551835349,0.504937948,0.101316543,0.069238621,0.400886601,0.363780058,0.418870774
7,0.178375928,0.310679187,0.233516752,0.19418401,0.151905454,0.229051998,0.186001118,0.136090281,0.291880367,0.248630659,0.208711469,0.288080389,0.250403919,0.209691861,0.102506329,0.095334164,0.155259548,0.150638128,0.20116342
8,0.864395789,0.898266503,0.863633514,0.795979045,0.706480564,0.869979348,0.782998557,0.688622471,0.808590964,0.60299191,0.476894369,0.80916531,0.605026193,0.476250565,0.673894386,0.77738507,0.625444833,0.78365291,0.728314017
9,0.763803281,0.938257103,0.860311699,0.818327772,0.741670762,0.862743185,0.820477787,0.734065037,0.936734753,0.922428459,0.889266321,0.936687282,0.92681281,0.896487765,0.546919949,0.590146868,0.652419405,0.69953501,0.807616403
10,0.371739955,0.372390511,0.337328506,0.178752801,0.139464379,0.364124147,0.164164419,0.110476495,0.129610071,0.044031022,0.027261724,0.124247027,0.047376318,0.022880776,0.35749291,0.344928948,0.283045949,0.246427493,0.203652414
11,0.40426482,0.400733774,0.37313128,0.193848681,0.132817159,0.38876841,0.184303167,0.113397138,0.143793632,0.016709662,0.009174679,0.132331956,0.026419937,0.008023051,0.390362939,0.392155046,0.289730801,0.323511117,0.217970958
12,0.199633776,0.288426669,0.239016016,0.183616205,0.144871729,0.237885451,0.175585327,0.137530983,0.239262885,0.186687823,0.144623756,0.238142725,0.18115185,0.138880445,0.146683414,0.134418901,0.172141418,0.150123845,0.185482401
13,0.622631078,0.849171791,0.803899492,0.742122989,0.670147838,0.804203441,0.720932037,0.631259222,0.814298839,0.763637304,0.710759549,0.817448775,0.753100984,0.688986236,0.40293793,0.449784705,0.67573343,0.66078168,0.698990962
14,0.276632377,0.471115847,0.303783687,0.259644484,0.200682005,0.316424228,0.270587302,0.215131446,0.464366743,0.418048272,0.390490984,0.464975327,0.429819828,0.393211224,0.120268857,0.133761132,0.179384183,0.213637457,0.306775855
15,0.628048456,0.97253584,0.88593606,0.82207168,0.710673965,0.838955035,0.738414346,0.63040373,0.971769134,0.972725743,0.974656085,0.976460722,0.976526257,0.976380717,0.472135498,0.232721659,0.720251147,0.514526489,0.778621809
16,0.390581975,0.575591218,0.42554169,0.381983926,0.33438128,0.426759134,0.38293208,0.334401827,0.556884971,0.517007066,0.473125266,0.55629893,0.522321477,0.479206651,0.227116293,0.20952127,0.283461337,0.278475445,0.408643991
17,0.477981447,0.693070307,0.604069794,0.498099098,0.407520837,0.634606067,0.518658433,0.440330314,0.617887947,0.572823992,0.501690496,0.629845226,0.569070942,0.491399092,0.29396047,0.31530323,0.376850857,0.433427151,0.504255317
