epochs,acc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0.3235294117647059,0.6486486486486487,0.24324324324324326,0.8125,0.07692307692307693,0.3,0.6190476190476191,0.8947368421052632,0.3157894736842105,0.45454545454545453,0.5066666666666667,0.40425531914893614,0.05263157894736842,0.22727272727272727,0.391304347826087,0.16216216216216217,0.4857142857142857,0.13953488372093023,0.3684210526315789,0.2916666666666667,0.24691358024691357,0.39655172413793105,0.4666666666666667,0.5625,0.39655172413793105,0.027777777777777776,0.75,0.6176470588235294,0.35714285714285715,0.42424242424242425,0.391304347826087,0.5757575757575758,0.5434782608695652,0.19753086419753085,0.4673913043478261,0.45901639344262296,0.8095238095238095,0.3939393939393939,0.5142857142857142,0.06944444444444445,0.53125,0.28205128205128205,0.6142857142857143,0.07142857142857142,0.0684931506849315,0.21052631578947367,0.15789473684210525,0.24,0.125,0.18823529411764706,0.2175732217573222,0.029411764705882353
1,0.32916145181476847,0.7567567567567568,0.40540540540540543,0.53125,0.28205128205128205,0.5,0.7142857142857143,0.868421052631579,0.45614035087719296,0.30303030303030304,0.68,0.40425531914893614,0.13157894736842105,0.2878787878787879,0.45652173913043476,0.16216216216216217,0.9142857142857143,0.11627906976744186,0.38596491228070173,0.3958333333333333,0.24691358024691357,0.3793103448275862,0.38333333333333336,0.5625,0.22413793103448276,0.16666666666666666,0.7777777777777778,0.5882352941176471,0.14285714285714285,0.3939393939393939,0.5,0.6666666666666666,0.6521739130434783,0.2222222222222222,0.4782608695652174,0.3114754098360656,0.8333333333333334,0.2727272727272727,0.5428571428571428,0.18055555555555555,0.34375,0.38461538461538464,0.44285714285714284,0.03571428571428571,0.0684931506849315,0.2631578947368421,0.2631578947368421,0.44,0.09375,0.13529411764705881,0.13807531380753138,0.11764705882352941
2,0.3504380475594493,0.7837837837837838,0.35135135135135137,0.59375,0.2564102564102564,0.36666666666666664,0.5476190476190477,0.868421052631579,0.43859649122807015,0.15151515151515152,0.6933333333333334,0.20212765957446807,0.34210526315789475,0.19696969696969696,0.5434782608695652,0.2702702702702703,0.6857142857142857,0.23255813953488372,0.3508771929824561,0.6875,0.32098765432098764,0.39655172413793105,0.31666666666666665,0.5,0.6724137931034483,0.1388888888888889,0.8333333333333334,0.7352941176470589,0.16071428571428573,0.48484848484848486,0.5652173913043478,0.696969696969697,0.6739130434782609,0.41975308641975306,0.5543478260869565,0.19672131147540983,0.6904761904761905,0.21212121212121213,0.45714285714285713,0.08333333333333333,0.28125,0.358974358974359,0.3142857142857143,0.09523809523809523,0.0410958904109589,0.2807017543859649,0.24561403508771928,0.3,0.09375,0.12941176470588237,0.2384937238493724,0.14705882352941177
3,0.35294117647058826,0.7027027027027027,0.40540540540540543,0.78125,0.1794871794871795,0.36666666666666664,0.2857142857142857,0.8947368421052632,0.543859649122807,0.12121212121212122,0.6533333333333333,0.26595744680851063,0.23684210526315788,0.18181818181818182,0.6739130434782609,0.24324324324324326,0.8,0.20930232558139536,0.3333333333333333,0.5625,0.3333333333333333,0.39655172413793105,0.3,0.5625,0.5689655172413793,0.2777777777777778,0.75,0.5294117647058824,0.30357142857142855,0.3333333333333333,0.5217391304347826,0.7272727272727273,0.6521739130434783,0.19135802469135801,0.6304347826086957,0.3770491803278688,0.6190476190476191,0.36363636363636365,0.4857142857142857,0.3888888888888889,0.34375,0.358974358974359,0.35714285714285715,0.047619047619047616,0.0273972602739726,0.2982456140350877,0.3157894736842105,0.32,0.09375,0.1411764705882353,0.2594142259414226,0.029411764705882353
4,0.36264080100125157,0.8108108108108109,0.2702702702702703,0.375,0.20512820512820512,0.36666666666666664,0.6428571428571429,0.868421052631579,0.45614035087719296,0.06060606060606061,0.5466666666666666,0.2553191489361702,0.21052631578947367,0.19696969696969696,0.6521739130434783,0.16216216216216217,0.9428571428571428,0.16279069767441862,0.40350877192982454,0.5208333333333334,0.37037037037037035,0.3620689655172414,0.31666666666666665,0.625,0.6551724137931034,0.3333333333333333,0.7777777777777778,0.5,0.14285714285714285,0.45454545454545453,0.5434782608695652,0.7272727272727273,0.6086956521739131,0.22839506172839505,0.7065217391304348,0.4918032786885246,0.7380952380952381,0.24242424242424243,0.42857142857142855,0.20833333333333334,0.15625,0.28205128205128205,0.5714285714285714,0.08333333333333333,0.0273972602739726,0.2982456140350877,0.42105263157894735,0.44,0.09375,0.12352941176470589,0.2928870292887029,0.029411764705882353
5,0.36295369211514394,0.5675675675675675,0.32432432432432434,0.4375,0.20512820512820512,0.5,0.42857142857142855,0.8947368421052632,0.47368421052631576,0.12121212121212122,0.5733333333333334,0.2553191489361702,0.21052631578947367,0.30303030303030304,0.6086956521739131,0.2702702702702703,0.7428571428571429,0.3023255813953488,0.3508771929824561,0.5416666666666666,0.2962962962962963,0.3620689655172414,0.48333333333333334,0.625,0.5517241379310345,0.25,0.75,0.6470588235294118,0.17857142857142858,0.42424242424242425,0.6086956521739131,0.7272727272727273,0.6086956521739131,0.3333333333333333,0.6521739130434783,0.45901639344262296,0.7142857142857143,0.3939393939393939,0.3142857142857143,0.18055555555555555,0.375,0.23076923076923078,0.5428571428571428,0.10714285714285714,0.0273972602739726,0.3157894736842105,0.3157894736842105,0.44,0.09375,0.15294117647058825,0.2489539748953975,0.029411764705882353
6,0.3660826032540676,0.5945945945945946,0.2702702702702703,0.625,0.41025641025641024,0.38333333333333336,0.5476190476190477,0.8947368421052632,0.5263157894736842,0.09090909090909091,0.64,0.30851063829787234,0.23684210526315788,0.3333333333333333,0.5869565217391305,0.24324324324324326,0.8285714285714286,0.23255813953488372,0.2982456140350877,0.5416666666666666,0.35802469135802467,0.5,0.4,0.59375,0.5344827586206896,0.25,0.8055555555555556,0.6176470588235294,0.21428571428571427,0.30303030303030304,0.6086956521739131,0.7272727272727273,0.6739130434782609,0.24074074074074073,0.5760869565217391,0.29508196721311475,0.6428571428571429,0.5454545454545454,0.5142857142857142,0.2638888888888889,0.21875,0.358974358974359,0.38571428571428573,0.023809523809523808,0.0684931506849315,0.2982456140350877,0.40350877192982454,0.36,0.09375,0.11176470588235295,0.2824267782426778,0.14705882352941177
7,0.373279098873592,0.4594594594594595,0.43243243243243246,0.6875,0.20512820512820512,0.48333333333333334,0.5,0.8947368421052632,0.6140350877192983,0.15151515151515152,0.6666666666666666,0.1595744680851064,0.3684210526315789,0.24242424242424243,0.5869565217391305,0.21621621621621623,0.9428571428571428,0.2558139534883721,0.2982456140350877,0.6875,0.345679012345679,0.3793103448275862,0.4666666666666667,0.6875,0.7758620689655172,0.2777777777777778,0.7777777777777778,0.5,0.23214285714285715,0.45454545454545453,0.5652173913043478,0.7575757575757576,0.6086956521739131,0.32098765432098764,0.5869565217391305,0.29508196721311475,0.6428571428571429,0.24242424242424243,0.4,0.19444444444444445,0.15625,0.2564102564102564,0.44285714285714284,0.13095238095238096,0.0273972602739726,0.2982456140350877,0.3333333333333333,0.36,0.125,0.24705882352941178,0.26569037656903766,0.058823529411764705
8,0.37984981226533165,0.5675675675675675,0.3783783783783784,0.75,0.1794871794871795,0.4166666666666667,0.5,0.868421052631579,0.6842105263157895,0.15151515151515152,0.7066666666666667,0.2872340425531915,0.3684210526315789,0.3333333333333333,0.5869565217391305,0.1891891891891892,0.9142857142857143,0.2558139534883721,0.3333333333333333,0.6458333333333334,0.35802469135802467,0.3793103448275862,0.35,0.59375,0.6551724137931034,0.2222222222222222,0.8888888888888888,0.47058823529411764,0.17857142857142858,0.30303030303030304,0.5217391304347826,0.7272727272727273,0.6521739130434783,0.35802469135802467,0.532608695652174,0.4426229508196721,0.6904761904761905,0.12121212121212122,0.45714285714285713,0.2222222222222222,0.34375,0.3076923076923077,0.38571428571428573,0.03571428571428571,0.1095890410958904,0.3157894736842105,0.2631578947368421,0.38,0.125,0.22941176470588234,0.29916317991631797,0.029411764705882353
9,0.36639549436795993,0.6486486486486487,0.35135135135135137,0.5625,0.15384615384615385,0.36666666666666664,0.4523809523809524,0.868421052631579,0.6491228070175439,0.030303030303030304,0.56,0.18085106382978725,0.23684210526315788,0.21212121212121213,0.6304347826086957,0.16216216216216217,0.9714285714285714,0.23255813953488372,0.45614035087719296,0.6666666666666666,0.3333333333333333,0.3620689655172414,0.43333333333333335,0.53125,0.6206896551724138,0.25,0.75,0.5294117647058824,0.16071428571428573,0.36363636363636365,0.6956521739130435,0.7575757575757576,0.6086956521739131,0.36419753086419754,0.5652173913043478,0.4426229508196721,0.47619047619047616,0.3939393939393939,0.37142857142857144,0.3055555555555556,0.25,0.28205128205128205,0.37142857142857144,0.03571428571428571,0.1095890410958904,0.2982456140350877,0.3333333333333333,0.56,0.09375,0.21176470588235294,0.25732217573221755,0.11764705882352941
